label,MET,SCN1B
7Networks_LH_Default_pCunPCC_5,0.8015759411804487,0.7927360226417846
7Networks_LH_Default_pCunPCC_6,0.7702953290899378,0.7166911909529681
7Networks_LH_Default_pCunPCC_7,0.7848794495709208,0.617678687114087
7Networks_LH_Default_pCunPCC_8,0.7523580539852632,0.6109003749904545
7Networks_LH_Default_pCunPCC_9,0.5984178570103216,0.4532245820333446
7Networks_LH_Default_pCunPCC_10,0.7624223331079456,0.817968807222763
7Networks_LH_Default_pCunPCC_11,0.7426362239613499,0.6899478096024044
7Networks_RH_Vis_1,0.6589835464554143,0.5658279562742403
7Networks_RH_Vis_2,0.8508999630961938,0.4238345001901069
7Networks_RH_Vis_3,0.9505871020679674,0.553610215509013
7Networks_RH_Vis_4,0.8835493270694086,0.7451057634524318
7Networks_RH_Vis_5,0.9007715974514111,0.7108099109809041
7Networks_RH_Vis_6,0.9365026108552552,0.8007368909653992
7Networks_RH_Vis_7,0.7095663418882946,0.4582991894507494
7Networks_RH_Vis_8,0.9017916349292258,0.9334363963390224
7Networks_RH_Vis_9,0.9110944495940416,0.6328365316607673
7Networks_RH_Vis_10,NaN,NaN
7Networks_RH_Vis_11,0.8556293282019299,0.880537513930396
7Networks_RH_Vis_12,NaN,NaN
7Networks_RH_Vis_13,0.9303800222076541,0.9384691852500633
7Networks_RH_Vis_14,0.7165882413096677,0.46746450407652884
7Networks_RH_Vis_15,0.7942077929407465,0.9624902121615961
7Networks_RH_Vis_16,0.8674601318394255,0.7750466353498311
7Networks_RH_Vis_17,0.8083426807577873,0.462593215829406
7Networks_RH_Vis_18,0.9071691972954213,0.9335899315087202
7Networks_RH_Vis_19,0.8326761900470028,0.9097034128103679
7Networks_RH_Vis_20,NaN,NaN
7Networks_RH_Vis_21,NaN,NaN
7Networks_RH_Vis_22,0.8408382300836609,0.8454044584199916
7Networks_RH_Vis_23,0.9157007242401567,0.8944940905745662
7Networks_RH_Vis_24,0.8081667274480964,0.8234145171424196
7Networks_RH_Vis_25,NaN,NaN
7Networks_RH_Vis_26,0.9415025201294474,0.9173962976289474
7Networks_RH_Vis_27,0.8722732823540645,0.8227223945243647
7Networks_RH_Vis_28,NaN,NaN
7Networks_RH_Vis_29,NaN,NaN
7Networks_RH_Vis_30,0.8856249706227293,0.8249483135349774
7Networks_RH_SomMot_1,0.743132479882636,0.48681850476887284
7Networks_RH_SomMot_2,0.8336162557650169,0.7073162894601253
7Networks_RH_SomMot_3,0.7053525257490901,0.6522955761467698
7Networks_RH_SomMot_4,0.6687291152326068,0.6399159667557818
7Networks_RH_SomMot_5,NaN,NaN
7Networks_RH_SomMot_6,NaN,NaN
7Networks_RH_SomMot_7,0.7359744807592352,0.809133202713252
7Networks_RH_SomMot_8,0.8322922681444633,0.6568314958124389
7Networks_RH_SomMot_9,NaN,NaN
7Networks_RH_SomMot_10,0.7832295641148297,0.857367734620871
7Networks_RH_SomMot_11,NaN,NaN
7Networks_RH_SomMot_12,0.550233898359622,0.6460846433921444
7Networks_RH_SomMot_13,NaN,NaN
7Networks_RH_SomMot_14,0.7824944116195872,0.7150403007682661
7Networks_RH_SomMot_15,0.39340375294374846,0.678992917785728
7Networks_RH_SomMot_16,0.5651813919981299,0.8407469848210771
7Networks_RH_SomMot_17,NaN,NaN
7Networks_RH_SomMot_18,0.5308522589339859,0.8692276078002317
7Networks_RH_SomMot_19,NaN,NaN
7Networks_RH_SomMot_20,0.44631828338301194,0.5712809656254954
7Networks_RH_SomMot_21,0.5763217974271367,0.8191708084082664
7Networks_RH_SomMot_22,0.31298166443158704,0.7387508147269548
7Networks_RH_SomMot_23,0.8310441251801349,0.8285848764339632
7Networks_RH_SomMot_24,0.21801404689051967,0.64338925705722
7Networks_RH_SomMot_25,0.713747356928462,0.8302027991694351
7Networks_RH_SomMot_26,0.37190025013124933,0.7298111744609751
7Networks_RH_SomMot_27,0.6479805099596305,0.86980476270813
7Networks_RH_SomMot_28,NaN,NaN
7Networks_RH_SomMot_29,0.49360923127433187,0.8440639453476012
7Networks_RH_SomMot_30,0.3448825457957442,0.844670657091809
7Networks_RH_SomMot_31,0.27743620550822184,0.7987653101747871
7Networks_RH_SomMot_32,NaN,NaN
7Networks_RH_SomMot_33,0.2715719135208604,0.8196757401625149
7Networks_RH_SomMot_34,0.6747548467315405,0.8306375728636334
7Networks_RH_SomMot_35,NaN,NaN
7Networks_RH_SomMot_36,0.3348078310899294,0.6535493558061796
7Networks_RH_SomMot_37,0.6926189514414344,0.7233386474450983
7Networks_RH_SomMot_38,0.2908370065219734,0.751259782113549
7Networks_RH_SomMot_39,0.24574150274943474,0.847217578624615
7Networks_RH_SomMot_40,NaN,NaN
7Networks_RH_DorsAttn_Post_1,0.8905203036894418,0.6062666592978392
7Networks_RH_DorsAttn_Post_2,NaN,NaN
7Networks_RH_DorsAttn_Post_3,0.8399499620309969,0.7963508989952423
7Networks_RH_DorsAttn_Post_4,0.8539936257262903,0.8192763820134941
7Networks_RH_DorsAttn_Post_5,0.9101625043188782,0.8310958923321552
7Networks_RH_DorsAttn_Post_6,0.8435410041601843,0.8024283247535519
7Networks_RH_DorsAttn_Post_7,NaN,NaN
7Networks_RH_DorsAttn_Post_8,0.8095403290475862,0.7480116334312694
7Networks_RH_DorsAttn_Post_9,0.812373781933236,0.7341610149731623
7Networks_RH_DorsAttn_Post_10,0.792488136071552,0.8299922138087031
7Networks_RH_DorsAttn_Post_11,0.7640743096582381,0.834041310925364
7Networks_RH_DorsAttn_Post_12,0.8319939527588233,0.8169564842617424
7Networks_RH_DorsAttn_Post_13,0.8427004382190237,0.6816947252009472
7Networks_RH_DorsAttn_Post_14,0.7689233471007038,0.8141651638800407
7Networks_RH_DorsAttn_Post_15,0.7767921512099797,0.7039367241744837
7Networks_RH_DorsAttn_Post_16,NaN,NaN
7Networks_RH_DorsAttn_Post_17,0.7731739269942062,0.7063333957672988
7Networks_RH_DorsAttn_Post_18,NaN,NaN
7Networks_RH_DorsAttn_Post_19,0.7172735766930559,0.7425733382834196
7Networks_RH_DorsAttn_FEF_1,0.3597969576633979,0.7769299706908714
7Networks_RH_DorsAttn_FEF_2,0.45348853961451424,0.6464654503411149
7Networks_RH_DorsAttn_FEF_3,NaN,NaN
7Networks_RH_DorsAttn_PrCv_1,0.41160551220844926,0.5719099518090914
7Networks_RH_SalVentAttn_TempOccPar_1,0.7816789306676949,0.8146499283698747
7Networks_RH_SalVentAttn_TempOccPar_2,NaN,NaN
7Networks_RH_SalVentAttn_TempOccPar_3,NaN,NaN
7Networks_RH_SalVentAttn_TempOccPar_4,0.8268709348304546,0.6334605914704728
7Networks_RH_SalVentAttn_TempOccPar_5,0.7495210218316918,0.508657968679168
7Networks_RH_SalVentAttn_TempOccPar_6,0.8039392326259747,0.6952770987965177
7Networks_RH_SalVentAttn_TempOccPar_7,0.8003774091093839,0.5572173069383167
7Networks_RH_SalVentAttn_PrC_1,0.38096142199625127,0.7686516049584097
7Networks_RH_SalVentAttn_FrOperIns_1,0.5738689981585476,0.21277800036412076
7Networks_RH_SalVentAttn_FrOperIns_2,0.651975344743408,0.15618807843336402
7Networks_RH_SalVentAttn_FrOperIns_3,0.563121468241673,0.3983378231509327
7Networks_RH_SalVentAttn_FrOperIns_4,0.2565152427479103,0.28178070880907297
7Networks_RH_SalVentAttn_FrOperIns_5,0.6247759184771324,0.4413836668346044
